State,District,Waste2008,Waste2015,totarea
Andhra Pradesh,Anantapur,3484.73,3448.46,19130
Andhra Pradesh,Chittoor,3308.63,3220.79,15151
Andhra Pradesh,East Godavari,513.33,438.14,12805
Andhra Pradesh,Guntur,1225.46,1204.22,11391
Andhra Pradesh,Kadapa(ysr),4071.22,3993.3,15359
Andhra Pradesh,Krishna,481.97,452.73,8727
Andhra Pradesh,Kurnool,2561.03,2517.13,17658
Andhra Pradesh,Nellore,2184.2,1901.34,13076
Andhra Pradesh,Prakasam,2888.6,2795.98,17626
Andhra Pradesh,Srikakulam,830.47,820.84,5837
Andhra Pradesh,Visakhapatnam,2384.23,2357.83,11161
Andhra Pradesh,Vizianagaram,747.02,737.25,6539
Andhra Pradesh,West Godavari,105.4,93.74,8507
Arunachal Pradesh,Changlang,122.03,137.59,5069
Arunachal Pradesh,East Kameng,88.43,98.63,4134
Arunachal Pradesh,East Siang,340.35,398.79,4687
Arunachal Pradesh,Kurung Kumey,908.89,909.12,7141
Arunachal Pradesh,Lohit,2579.81,2607.48,11402
Arunachal Pradesh,Lower Dibang Valley,308.69,316.39,4070
Arunachal Pradesh,Lower Subansiri,396.39,401.55,2994
Arunachal Pradesh,Papum Pare,138.77,149.56,2875
Arunachal Pradesh,Tawang,1212.54,1214.86,2172
Arunachal Pradesh,Tirap,502.12,502.71,1955
Arunachal Pradesh,Dibang Valley,2889.37,2889.39,8959
Arunachal Pradesh,Upper Siang,955.35,976.5,6188
Arunachal Pradesh,Upper Subansiri,959.98,962.96,7032
Arunachal Pradesh,West Kameng,1568.9,1570.18,7422
Arunachal Pradesh,West Siang,767.1,770.46,7643
Bihar,Araria,147.33,119.35,2792
Bihar,Aurangabad,110.28,106.14,3305
Bihar,Banka,561.76,560.63,3018
Bihar,Begusarai,204.62,136.28,1889
Bihar,Kaimur (Bhabua),449.16,447.06,3369
Bihar,Bhagalpur,418.55,258.59,2561
Bihar,Bhojpur,38.42,31.3,2474
Bihar,Buxar,32.48,32.83,1624
Bihar,Darbhanga,264.62,251.19,2279
Bihar,Gaya,339.79,337.83,4976
Bihar,Gopalganj,157.59,159.33,2033
Bihar,Jamui,597.89,590.04,3143
Bihar,Jehanabad,30.58,27.35,1569
Bihar,Katihar,589.04,485.55,3057
Bihar,Khagaria,288.06,246.36,1482
Bihar,Kishanganj,50.32,54.62,1936
Bihar,Lakhisarai,122.65,100.43,1342
Bihar,Madhepura,311.59,242.9,1792
Bihar,Madhubani,173.92,154.42,3501
Bihar,Munger,131.03,112.24,1397
Bihar,Muzaffarpur,249.62,222.79,3172
Bihar,Nawada,143.75,140.61,2494
Bihar,Nalanda,116.75,108.34,2367
Bihar,Pashchim Champaran,360.55,283.72,5228
Bihar,Patna,436.02,344.61,3202
Bihar,Purba Champaran,233.35,213,3968
Bihar,Purnia,387.84,275.65,3200
Bihar,Rohtas,278.42,276.6,3844
Bihar,Saharsa,269.75,181.34,1694
Bihar,Samastipur,306.86,274.04,2904
Bihar,Saran,261.39,249.27,2641
Bihar,Sheikhpura,28.7,12.45,540
Bihar,Sheohar,15.41,12.83,583
Bihar,Sitamarhi,59.61,53.17,2060
Bihar,Siwan,211.08,198.37,2219
Bihar,Supaul,185.74,161.77,2480
Bihar,Vaishali,250.93,222.4,2036
Chandigarh,Chandigarh,1.09,1.56,114
Chhattisgarh,Bastar,788.62,793.56,14974
Chhattisgarh,Bilaspur,412.22,449.68,7215
Chhattisgarh,Dantewara,1567.32,1545.19,17634
Chhattisgarh,Dhamtari,178.05,174.12,4049
Chhattisgarh,Durg,457.42,449.96,8537
Chhattisgarh,Janjgir Champa,178.18,211.66,3672
Chhattisgarh,Jashpur,372.47,383.06,5838
Chhattisgarh,Kanker,275.88,271.47,6506
Chhattisgarh,Kawardha,192.56,208.55,4223
Chhattisgarh,Korba,837.98,919.29,9010
Chhattisgarh,Korea,706.83,719.15,6604
Chhattisgarh,Mahasamund,308.92,315.45,4702
Chhattisgarh,Raigarh,555.02,585.39,7086
Chhattisgarh,Raipur,1061.61,1166.91,12507
Chhattisgarh,Raj Nandgaon,455.69,457.81,6904
Chhattisgarh,Surguja,2153.05,2224.12,15733
Dadra & Nagar Haveli,Dadra & Nagar Haveli,40.03,39.71,491
Daman & Diu,Daman,4.71,4.6,72
Daman & Diu,Diu,3.51,3.18,40
Delhi,Delhi,80.5,81.27,1483
Goa,North Goa,282.02,279.74,1733
Goa,South Goa,232.53,235.92,1969
Gujarat,Ahmadabad,621.68,616.98,8707
Gujarat,Amreli,749.08,769.34,6760
Gujarat,Anand,107.42,106.61,3044
Gujarat,Banas Kantha,726.93,769.44,12703
Gujarat,Bharuch,592.02,586.01,6244
Gujarat,Bhavnagar,1454.96,1425.59,11155
Gujarat,Dahod,492.03,493.07,3609
Gujarat,Gandhinagar,49.06,49.32,649
Gujarat,Jamnagar,1188.72,1218.56,14125
Gujarat,Junagadh,656.75,679.59,8306
Gujarat,Kachchh,7698.26,7610.59,45652
Gujarat,Kheda,214.92,211.12,4150
Gujarat,Mahesana,166.98,175.94,3343
Gujarat,Narmada,384.91,381.72,2794
Gujarat,Navsari,267.34,271.71,2211
Gujarat,Panchtaluks,407.15,410.42,5257
Gujarat,Patan,362.84,388.91,5684
Gujarat,Porbandar,308.39,311.31,2301
Gujarat,Rajkot,1439.28,1392.51,11203
Gujarat,Sabar Kantha,845.82,859.84,7390
Gujarat,Surat,398.7,376.71,7657
Gujarat,Surendranagar,1348.64,1315.8,10489
Gujarat,The Dangs,222.95,208,1764
Gujarat,Vadodara,740.92,745.23,7794
Gujarat,Valsad,364.79,366.1,3033
Himachal Pradesh,Bilaspur,370.43,370.43,1167
Himachal Pradesh,Chamba,1806.84,1806.84,6528
Himachal Pradesh,Hamirpur,213.51,213.51,1118
Himachal Pradesh,Kangra,1159.38,1159.38,5739
Himachal Pradesh,Kinnaur,3349.78,3349.78,6401
Himachal Pradesh,Kullu,2433.53,2433.53,5503
Himachal Pradesh,Lahul & Spiti,10315.32,10315.32,13835
Himachal Pradesh,Mandi,686.36,686.36,3950
Himachal Pradesh,Shimla,999.33,999.33,5131
Himachal Pradesh,Sirmaur,624.54,624.54,2825
Himachal Pradesh,Solan,571.62,571.34,1936
Himachal Pradesh,Una,301.55,301.55,1540
Jammu and Kashmir,Anantnag,1728.51,1725.48,3984
Jammu and Kashmir,Badgam,415.26,415.09,1371
Jammu and Kashmir,Baramulla,1779.49,1783.77,4588
Jammu and Kashmir,Doda,6744.56,6671.49,11691
Jammu and Kashmir,Jammu,284.01,288.44,3097
Jammu and Kashmir,Kargil,13972.23,13907.12,14036
Jammu and Kashmir,Kathua,527.09,526.25,2651
Jammu and Kashmir,Kupwara,535.45,556.42,2379
Jammu and Kashmir,Leh,44564.56,44237.72,45110
Jammu and Kashmir,Pulwama,274.37,272.19,1398
Jammu and Kashmir,Punch,395.97,397.72,1674
Jammu and Kashmir,Rajouri,920.51,915.3,2630
Jammu and Kashmir,Srinagar,1199.57,1199.09,2228
Jammu and Kashmir,Udhampure,708.64,707.9,4550
Jharkhand,Bokaro,603.47,602.24,2861
Jharkhand,Chatra,1128.17,1132,3706
Jharkhand,Deoghar,544.62,545.37,2476
Jharkhand,Dhanbad,411.33,414.17,2996
Jharkhand,Dumka,349.73,349.41,4412
Jharkhand,Garhwa,651.8,651.65,4044
Jharkhand,Giridih,876.69,868.84,4029
Jharkhand,Godda,236.59,237.16,2108
Jharkhand,Gumla,568.61,568.56,5321
Jharkhand,Hazaribagh,911.34,911.84,4913
Jharkhand,Jamtara,174.38,173.58,1800
Jharkhand,Kodarma,360.42,359.09,2545
Jharkhand,Latehar,849.77,849.13,4250
Jharkhand,Lohardaga,96.39,96.02,1491
Jharkhand,Pakur,191.58,193.85,1805
Jharkhand,Palamu,709.75,709.71,4455
Jharkhand,Pashchimi Singhbhum,599.12,599.12,7267
Jharkhand,Purbi Singhbhum,392.05,391.34,3533
Jharkhand,Ranchi,809.92,806.23,7698
Jharkhand,Sahibganj,132.8,132.11,1600
Jharkhand,Saraikela-Kharsawan,265.4,265.67,2640
Jharkhand,Simdega,910.41,912.01,3756
Karnataka,Bagalkot,605.26,603.69,6575
Karnataka,Bellary,715.65,711.88,8419
Karnataka,Belgaum,1001.57,999.22,13415
Karnataka,Bangalore,129.46,114.15,2190
Karnataka,Bangalore Rural,157.31,154.71,2303
Karnataka,Bidar,402.54,401.55,5448
Karnataka,Chamarajanagar,385.71,378.45,5685
Karnataka,Chikkaballapura,568.6,566.44,4246
Karnataka,Chikmagalur,330.04,327.31,7201
Karnataka,Chitradurga,946.42,915.9,8440
Karnataka,Dakshina Kannada,322.27,322.21,4843
Karnataka,Davanagere,463.07,463.07,5966
